category_name,brand_name,waves,mean_p,obs_var,noise_var,signal_var,reliability,max_attainable_r
Coffee,Proud Mary's,21,0.02180912347152381,3.550252797501801e-5,7.690059206070266e-5,0,0,0
Coffee,Rumble Coffee Roasters,31,0.006878755784516129,9.512612740629561e-5,2.5138337713650514e-5,6.998778969264509e-5,0.7357367697070067,0.8577509951652675
Coffee,ST. ALI,30,0.061458210552966665,3.5471394102442705e-4,2.1064543949203047e-4,1.4406850153239658e-4,0.40615404378052183,0.6373021605020038
Coffee,Sample Coffee,21,0.01148184363952381,4.083910388449791e-5,4.002681321549226e-5,8.122906690056478e-7,0.01989002186000425,0.14103198878270223
Coffee,Seven Miles,31,0.030503131250483873,9.915127566451704e-5,1.0723918331537499e-4,0,0,0
Coffee,Single O,31,0.025445216153709677,9.727862276712549e-5,9.004396856460953e-5,7.234654202515963e-6,0.07437044231017685,0.27270944668305286
Coffee,Suntory Boss Coffee,23,0.127277673235,7.979313435705808e-4,3.9433339200425465e-4,4.035979515663262e-4,0.5058053613488941,0.7111999447053509
Coffee,Toby's Estate,31,0.12034097642312903,3.6821535347799874e-4,3.760863139696755e-4,0,0,0
Coffee,Veneziano Coffee Roasters,21,0.020151678668428572,4.5174470510743944e-5,7.120123894605097e-5,0,0,0
Coffee,Vittoria Coffee,31,0.5114516930705807,0.001000244663126601,8.888119625489196e-4,1.1143270057768133e-4,0.11140544377348735,0.33377454033147486
"Coupons, Discounts and Vouchers",Cashrewards,20,0.2944216046178,0.0015306600552360244,7.077960211472197e-4,8.228640340888047e-4,0.5375877101345804,0.7332037303059638
"Coupons, Discounts and Vouchers",EatClub,20,0.0601236466782,2.4651893916309624e-4,1.9705067610320147e-4,4.946826305989477e-5,0.20066719103949537,0.44795891668711696
"Coupons, Discounts and Vouchers",Entertainment,20,0.10092354764055,2.2828498330845873e-4,3.215516424030163e-4,0,0,0
"Coupons, Discounts and Vouchers",First Table,20,0.0459033603287,3.2827346146933385e-4,1.5882458761801307e-4,1.6944887385132078e-4,0.5161820669050644,0.718458117711161
"Coupons, Discounts and Vouchers",Groupon,20,0.43278799581495,8.706363935636126e-4,8.522384193359531e-4,1.8397974227659557e-5,0.02113163929703717,0.14536725661935418
"Coupons, Discounts and Vouchers",RedBalloon,20,0.2682525302234,6.208537609544482e-4,6.8546501957156e-4,0,0,0
"Crumbs, Coatings and Sauces",Hart & Soul,17,0.05777743057847059,2.7501400892619314e-4,2.0958842435251184e-4,6.54255845736813e-5,0.23789909768283798,0.4877490109501382
"Crumbs, Coatings and Sauces",Maggi,17,0.6482756985861177,0.001205824629057415,8.612869923998231e-4,3.445376366575919e-4,0.2857278151026942,0.534535139259052
"Crumbs, Coatings and Sauces",MasterFoods,17,0.7602686695877647,7.176639632884669e-4,6.891993434332099e-4,2.8464619855257038e-5,0.03966288027731944,0.1991554173938521
"Crumbs, Coatings and Sauces",McCormick,17,0.24004423863088234,9.999386002555357e-4,6.911793275477888e-4,3.0875927270774693e-4,0.30877823161226403,0.5556781726973483
"Crumbs, Coatings and Sauces",Mingle,17,0.061414716019764705,2.1995838049819103e-4,2.2197547590296546e-4,0,0,0
"Crumbs, Coatings and Sauces",Old El Paso,17,0.5792520367265294,0.0010929363001061993,9.224793095059323e-4,1.70456990600267e-4,0.1559624203018089,0.39492077724754987
Department Stores,Big W,16,0.7495047240989375,5.398312334846079e-4,6.185017643142483e-4,0,0,0
Department Stores,David Jones,16,0.3676713464645,0.0015834032170616782,7.62006130450814e-4,8.213970866108643e-4,0.5187542110310545,0.7202459378788988
Department Stores,Kmart,16,0.83279072382975,5.652723554487623e-4,4.557317155945574e-4,1.0954063985420492e-4,0.1937838261473835,0.44020884378597336
Department Stores,Myer,16,0.5233681690179375,0.0014124669966738826,8.173870379462205e-4,5.95079958727662e-4,0.4213053898809482,0.6490804186546905
Department Stores,Salvos Stores,16,0.329343283298625,8.100848240364698e-4,7.215423511341232e-4,8.854247290234656e-5,0.10930024890623109,0.3306058815360536
Department Stores,Target,16,0.6620806758430625,0.0011318544974164603,7.351951417152742e-4,3.966593557011861e-4,0.3504508367520647,0.5919888822875516
Eco Products,Adore,35,0.12051338684651429,6.924714752909526e-4,4.3404177401444875e-4,2.5842970127650384e-4,0.3731990565646341,0.6109002018043815
Eco Products,Biome,35,0.1290039723138,7.077274755351242e-4,4.605321721423968e-4,2.471953033927274e-4,0.3492803542858344,0.5909994537102673
Eco Products,Flora & Fauna,35,0.12049227804637143,3.1144401011074744e-4,4.3338362903326945e-4,0,0,0
Eco Products,Go for Zero,35,0.0422524529142,3.5509354399920285e-4,1.6557830471986942e-4,1.8951523927933343e-4,0.5337051108982113,0.7305512376953524
Eco Products,Healthy Life,35,0.2086522091052857,7.89581465154492e-4,6.769599795149963e-4,1.1262148563949566e-4,0.14263440899978547,0.37766970887242923
Eco Products,Little Eco Shop,35,0.09449460702885715,3.0007651752798176e-4,3.515282433377426e-4,0,0,0
Fast Food,FISHBOWL,31,0.02685833868348387,8.128983796708861e-4,9.850089456134928e-5,7.143974851095368e-4,0.8788275422553692,0.9374580215963642
Fast Food,Grill'd,31,0.3726152401516129,0.0017814668002706202,8.609471552386772e-4,9.20519645031943e-4,0.5167200673580378,0.718832433434968
Fast Food,Guzman y Gomez,31,0.35910198799596776,0.0011904970259488787,8.514042809781325e-4,3.3909274497074616e-4,0.2848329206874534,0.5336974055468636
Fast Food,Hungry Jack's,31,0.5598859798059678,0.002734651219402102,9.075190652874201e-4,0.0018271321541146817,0.6681408368099541,0.8173988235922254
Fast Food,KFC,31,0.6484218923926774,0.0011003275402159112,8.433553259238946e-4,2.569722142920166e-4,0.2335415636707524,0.4832613823499167
Fast Food,Mad Mex,16,0.13124053757,3.689400554601953e-4,4.3024110818582205e-4,0,0,0
Fast Food,McDonalds,31,0.6586214180727419,0.0020412755683394427,8.313911972962718e-4,0.001209884371043171,0.5927099651848574,0.7698765908799003
Fast Food,Oporto,31,0.1722274810487097,0.019792500195391464,4.7289825021986964e-4,0.019319601945171596,0.9761071999216158,0.9879813763030231
Fast Food,Red Rooster,31,0.2594233894184516,0.0448118891164981,5.709430368545795e-4,0.044240946079643524,0.9872591169863362,0.9936091369277641
Fast Food,Roll'd,31,0.07174568159341936,0.005253535221358598,2.3345407078077018e-4,0.005020081150577828,0.9555624810829006,0.9775287622790956
Fast Food,Schnitz,31,0.08839374172932259,0.0077263668282213606,2.738650934141101e-4,0.00745250173480725,0.9645544795499755,0.9821173451018852
Fast Food,Soul Origin,31,0.08214922339958064,0.006859886200529282,2.6060133113937016e-4,0.006599284869389912,0.962010837567646,0.980821511574683
Fast Food,Subway,31,0.6054029764319355,0.0017441312328531327,8.822113283176612e-4,8.619199045354715e-4,0.4941829423726918,0.7029814665926064
Fast Food,Taco Bell,31,0.2390542783826129,0.001568639269871228,6.6708586955641e-4,9.015534003148179e-4,0.5747359623279276,0.7581134231287081
Fast Food,Zambrero,31,0.20727561533245162,0.0010011328536322112,6.086651950161287e-4,3.9246765861608254e-4,0.3920235533098032,0.6261178429894833
Female Fashion,Country Road,42,0.5317457575275715,0.0016558190791711922,0.0013299886188712993,3.2583046029989286e-4,0.19677902278006415,0.4435978164735081
Female Fashion,Cue,42,0.267000482644119,0.0019528642182538622,0.001036954475717208,9.159097425366542e-4,0.46900841030084905,0.6848418870811342
Female Fashion,Decjuba,42,0.21480440668726192,9.714986333785437e-4,9.080243555896458e-4,6.347427778889789e-5,0.0653364560773038,0.25560996865792185
Female Fashion,Forever New,38,0.3840582653013158,0.0021750854271504394,0.0012822221092034518,8.928633179469876e-4,0.4104957473402413,0.640699420430705
Female Fashion,Gorman,42,0.13821068208638096,7.228763331807653e-4,6.414363917917363e-4,8.1439941389029e-5,0.11266095962871123,0.33565005530866704
Female Fashion,Marcs,42,0.15392929932821428,6.615222064258674e-4,6.966488964875424e-4,0,0,0
Female Fashion,Portmans,42,0.41140447100204763,0.002173832282498052,0.0012869297152264998,8.869025672715522e-4,0.4079903378067286,0.6387412134869086
Female Fashion,Review,42,0.20076565163833332,0.0010779132213737126,8.550797761411235e-4,2.2283344523258905e-4,0.20672670194044562,0.4546720817693182
Female Fashion,Seed Heritage,42,0.28825627205602383,0.0012514372220928268,0.001101262094719366,1.5017512737346074e-4,0.12000212613327665,0.3464132303092315
Female Fashion,Veronika Maine,42,0.1631942780207143,6.50122570371034e-4,7.307876012519252e-4,0,0,0
Female Fashion,Witchery,42,0.44100609712204764,0.0015446237860014384,0.001316689429642472,2.2793435635896637e-4,0.1475662607456144,0.3841435418507181
Female Skincare,Alpha-H,43,0.16474290078313952,9.645855218148582e-4,5.669918491766615e-4,3.975936726381967e-4,0.41219120922541747,0.6420211906358056
Female Skincare,Biologi,43,0.1241172871285814,8.589430457283487e-4,4.4781987473958265e-4,4.11123170988766e-4,0.4786384534263856,0.6918370136284887
Female Skincare,Emma Lewisham,43,0.09476080743293024,5.40219674268865e-4,3.530582470774542e-4,1.871614271914108e-4,0.3464542964761801,0.588603683709319
