lag_months,mean_r,n_brands,run
-3,-0.029814237964149524,361,placebo_22
-2,-0.024700940686979526,370,placebo_22
-1,-0.02345327611888724,380,placebo_22
0,-0.009201682633104198,380,placebo_22
1,0.00687872104651411,380,placebo_22
2,0.0246779148859299,370,placebo_22
3,0.027663538010825037,361,placebo_22
-3,0.0017910749580332139,362,placebo_23
-2,-6.604903615207661e-4,371,placebo_23
-1,-0.008979543068757896,381,placebo_23
0,-0.01767277633574981,381,placebo_23
1,-0.020441572495433703,381,placebo_23
2,-0.014650807617385025,371,placebo_23
3,0.005455045011238595,362,placebo_23
-3,0.006447439963968226,361,placebo_24
-2,0.01883472249562183,370,placebo_24
-1,0.02781411370090222,380,placebo_24
0,0.027039675901096974,380,placebo_24
1,0.027278724279212036,380,placebo_24
2,0.021094467298146645,370,placebo_24
3,0.03009581465892009,361,placebo_24
-3,-0.0072116534322167304,361,placebo_25
-2,-0.01508758236658532,370,placebo_25
-1,-0.0016127113994380533,379,placebo_25
0,0.012735065903406385,379,placebo_25
1,0.016575858692872904,379,placebo_25
2,0.004138716612944091,370,placebo_25
3,-0.0034847153346649405,361,placebo_25
-3,-0.015489765575743481,363,placebo_26
-2,-0.008579896022149905,371,placebo_26
-1,-0.00892750020916135,380,placebo_26
0,-0.00730155883671997,380,placebo_26
1,-0.00787445600016261,380,placebo_26
2,-0.0011852369812941188,371,placebo_26
3,0.01690144001102285,363,placebo_26
-3,-0.05194791187445888,362,placebo_27
-2,-0.047705248224859026,371,placebo_27
-1,-0.02728071752738196,380,placebo_27
0,-0.012272750991592373,380,placebo_27
1,-0.007668319724813606,380,placebo_27
2,-0.005767347228927272,371,placebo_27
3,0.012620130912930409,362,placebo_27
-3,0.01480822727147919,362,placebo_28
-2,0.024279100720681786,371,placebo_28
-1,0.01895081888794484,380,placebo_28
0,0.012121720691081934,380,placebo_28
1,4.0870555574789636e-4,380,placebo_28
2,-0.007333071517432202,371,placebo_28
3,-0.013850603029256395,362,placebo_28
-3,0.02987283499705427,359,placebo_29
-2,0.02789328198628827,368,placebo_29
-1,0.03276331236309169,378,placebo_29
0,0.028749753211139397,378,placebo_29
1,0.03088567860494995,378,placebo_29
2,0.0349645265070755,368,placebo_29
3,0.038698175074939875,359,placebo_29
-3,-0.019788095135882224,362,placebo_30
-2,-0.020918238876690427,370,placebo_30
-1,-0.011568589953816082,379,placebo_30
0,-0.009150555060680065,380,placebo_30
1,-0.012810324093168112,380,placebo_30
2,-0.021459335369772316,371,placebo_30
3,-0.031825110055018264,363,placebo_30
-3,0.005453516002226431,361,placebo_31
-2,0.020236330293126315,370,placebo_31
-1,0.025203955601749133,380,placebo_31
0,0.028969992459097507,381,placebo_31
1,0.023330980113651752,381,placebo_31
2,0.018973836095482602,371,placebo_31
3,0.012794995159687532,362,placebo_31
-3,-0.0398210350542582,363,placebo_32
-2,-0.03799179315421342,371,placebo_32
-1,-0.030009954455836214,381,placebo_32
0,-0.020294134952261816,382,placebo_32
1,-0.006793235139334434,382,placebo_32
2,0.0032023410240435506,372,placebo_32
3,0.007454446697313962,364,placebo_32
-3,-0.031345832689434916,359,placebo_33
-2,-0.015057050072099284,368,placebo_33
-1,-0.007983335718102605,378,placebo_33
0,-0.007068086157221529,379,placebo_33
1,-0.016855845781066216,379,placebo_33
2,-0.015684876576430636,369,placebo_33
3,-0.018464777516400747,360,placebo_33
-3,-0.01211560035869099,360,placebo_34
-2,-0.002289571406605028,369,placebo_34
-1,-0.009455204119879584,379,placebo_34
0,-0.008918273927017379,379,placebo_34
1,-7.54309747669108e-4,379,placebo_34
2,0.014440032549183825,369,placebo_34
3,0.014149727140812796,360,placebo_34
-3,-0.01638862718758756,361,placebo_35
-2,-0.02651091529225672,370,placebo_35
-1,-0.025629642327103366,380,placebo_35
0,-0.014228354434179805,381,placebo_35
1,-0.0016014560312431292,381,placebo_35
2,-0.0011927529760903564,371,placebo_35
3,-0.010611833733428184,362,placebo_35
-3,-0.028004782940566943,358,placebo_36
-2,-0.009446135260517642,367,placebo_36
-1,-0.008461203025795136,377,placebo_36
0,-0.0022126834439561397,377,placebo_36
1,0.004833272744479806,377,placebo_36
2,0.006254475383338235,367,placebo_36
3,0.004381926985980742,358,placebo_36
-3,-0.03386294510018034,361,placebo_37
-2,-0.02225313003642529,369,placebo_37
-1,-0.01491861064963411,379,placebo_37
0,-0.009084650448902398,380,placebo_37
1,-5.425501146235338e-4,380,placebo_37
2,0.018219793194375278,370,placebo_37
3,0.025249644618894083,362,placebo_37
-3,0.0030927931896482814,361,placebo_38
-2,0.013473228979102837,370,placebo_38
-1,0.026323129581731695,380,placebo_38
0,0.030906858990045957,380,placebo_38
1,0.02433084187730314,380,placebo_38
2,0.013295236080036209,370,placebo_38
3,0.0033303307398616843,361,placebo_38
-3,-0.002077812551927101,359,placebo_39
-2,-0.009633646037573133,368,placebo_39
-1,-0.005998089252205255,378,placebo_39
0,0.0020703123731446904,378,placebo_39
1,0.004388937061050085,378,placebo_39
2,0.002629376229674415,368,placebo_39
3,0.01958602032103191,359,placebo_39
-3,-0.030227292207154005,361,placebo_40
-2,-0.03131029779348799,370,placebo_40
-1,-0.022128233237432786,380,placebo_40
0,-0.022339273409954712,380,placebo_40
1,-0.01849876188759786,380,placebo_40
2,-0.021803746449437195,370,placebo_40
3,-0.025204081720237585,361,placebo_40
-3,-0.024622709092758637,360,placebo_41
-2,-0.02082233697076345,369,placebo_41
