category_name,brand_name,sos,soc,soa,sop,consideration,awareness,conversion,waves
Fast Food,Hungry Jack's,0.014666916471979216,0.1443077204827527,0.1348732558195326,0.13550957132650837,0.5598859798059678,0.903922487858871,0.6186185551952391,31
Fast Food,KFC,0.26710468246466634,0.1666099711244597,0.1418635621626984,0.24274194167163868,0.6484218923926774,0.9529329290372258,0.680299818838516,31
Fast Food,Mad Mex,0.010741554065959093,0.03035520095435965,0.04358058710212118,0.008264190264177582,0.13124053757,0.3406802889043125,0.38593412541806354,16
Fast Food,McDonalds,0.32702808731161137,0.16965026655768708,0.14075525679391268,0.2457637528923094,0.6586214180727419,0.9439408070824838,0.697351325316053,31
Fast Food,Oporto,0.03498693747457725,0.04051916730956713,0.05088819234145973,0.020792690758263156,0.1722274810487097,0.3911026244815806,0.44004388691417795,31
Fast Food,Red Rooster,0.07069079708545019,0.06094864091091683,0.0660725357350682,0.03704681802405771,0.2594233894184516,0.5078379804956129,0.5104343177636527,31
Fast Food,Schnitz,0.012804007404377296,0.020516314195002477,0.020419484362189984,0.010873790061561054,0.08839374172932259,0.15964804106951613,0.5533724443731239,31
Fast Food,Soul Origin,0.009413498440284562,0.019015630727536974,0.020365715789393578,0.01159026966738563,0.08214922339958064,0.15923441077841935,0.5155669725650398,31
Fast Food,Subway,0.10659504524154767,0.15563886081429604,0.1332152171125345,0.1642407555260312,0.6054029764319355,0.8926042295868709,0.6781380984721155,31
Fast Food,Taco Bell,0.01900349735025563,0.06203932914713811,0.10074783594702193,0.01528185229070469,0.2390542783826129,0.6746142835845483,0.35360973232236026,31
Fast Food,Zambrero,0.03420287391412676,0.05322744561711641,0.06957239401731484,0.030995537755163963,0.20727561533245162,0.4678332493326129,0.4423617559966891,31
Female Fashion,Country Road,0.31176141017003517,0.16875138323117025,0.1558560147005173,0.29787333633095997,0.5317457575275715,0.8744495333424762,0.6079510128797453,42
Female Fashion,Cue,0.0038676098957730306,0.08453090889176654,0.10799547071103423,0.047276992498171924,0.267000482644119,0.6065708050196905,0.4393823098726272,42
Female Fashion,Decjuba,0.10426314835718768,0.06787474721157295,0.06269770391450857,0.059794883198640236,0.21480440668726192,0.3540476186648333,0.6105850245311089,42
Female Fashion,Forever New,0.1712255398095181,0.12107420874225235,0.10857473421794847,0.17928447474412526,0.3840582653013158,0.619323045347421,0.6195014257566238,38
Female Fashion,Gorman,0.05448966939552277,0.04375391183547125,0.03829239888628884,0.0290999246181011,0.13821068208638096,0.21629115654411904,0.6470499787393763,42
Female Fashion,Marcs,0.020130740763867172,0.048694363673022566,0.05286842716005733,0.014705202068874977,0.15392929932821428,0.2978035119425238,0.5199399853156104,42
Female Fashion,Portmans,0.07033775991669168,0.13054765586141484,0.1425842781205184,0.13270102457536712,0.41140447100204763,0.800188088854381,0.5137391663445322,42
Female Fashion,Review,0.033256727031735225,0.06340189444698244,0.06493403644573362,0.042498571120273464,0.20076565163833332,0.3654865197953333,0.5492920540697117,42
Female Fashion,Seed Heritage,0.06455288203809398,0.09130775100356105,0.07618006272546093,0.07134219845185027,0.28825627205602383,0.4290991680610952,0.6730086623832521,42
Female Fashion,Veronika Maine,0.020668324789740997,0.05168162520913829,0.057856082587703944,0.022992014092825058,0.1631942780207143,0.3254134877730476,0.5026868987696687,42
Female Fashion,Witchery,0.13852434137168634,0.13991242691671912,0.1425012414081282,0.11950609018120348,0.44100609712204764,0.7996333652787143,0.551364705945039,42
Female Skincare,Alpha-H,0.16011529792369875,0.15990848835946259,0.20530754272170473,0.1942188039809138,0.16474290078313952,0.19192591030290698,0.8591582623304701,43
Female Skincare,Biologi,0.011459817080300585,0.11987185988939209,0.11338636012328619,0.09553500298706322,0.1241172871285814,0.10717230478748838,1.1947926443145096,43
Female Skincare,Emma Lewisham,0.053550325662381416,0.09154831825728603,0.053240456594594594,0.06790371748483975,0.09476080743293024,0.0506878449297907,2.0830315174155447,43
Female Skincare,Go-to-skincare,0.16411792102140493,0.13865166912172544,0.11455808843849795,0.187458509937407,0.14132078772280954,0.10932266294461905,1.3146774576836355,42
Female Skincare,Grown Alchemist,0.07432445474974653,0.10971163134928147,0.10392774301887539,0.0712895188967277,0.11311303527555813,0.09768943202411629,1.1888669293439895,43
Female Skincare,Kora Organics,0.10399496540846763,0.19706670954557148,0.24268611379030006,0.2339399377321486,0.20283525366667443,0.22745052312183722,0.8998984539003141,43
Female Skincare,Rationale,0.4333072866433965,0.0816384453380263,0.058434897092053205,0.059837371435649545,0.08401686838746511,0.05520369659186047,1.6486424961451245,43
Female Skincare,Ren Skincare,0.0023856991620649598,0.11557885715665832,0.12252016440841224,0.10383578011238903,0.11813626018687179,0.11721857893151282,1.0241860137705154,39
Feminine Hygiene Products (Female Only),Canesten,0.6072052581409232,0.2833613843800739,0.2678216267485865,0.2869940856887911,0.31431433525411767,0.4972543880354118,0.6311940711875784,17
Feminine Hygiene Products (Female Only),Femfresh,0.15859364699472356,0.373170291880379,0.34098376589234164,0.47498824737188833,0.4127733564752353,0.6329721105047648,0.6525150888135234,17
Feminine Hygiene Products (Female Only),Replens,0.018685441328651218,0.0529615253556022,0.05788113430320512,0.044312306728106696,0.05901093827047059,0.10785631754529412,0.5492972936495465,17
Feminine Hygiene Products (Female Only),Vagisil,0.13876760612331634,0.25363153692840823,0.2933518201111404,0.16226810101419323,0.28213780119288234,0.545288387931647,0.5158356906216492,17
Feminine Hygiene Products (Female Only),Vush,0.07674804741238565,0.03687526145553667,0.03996165294472627,0.03143725919702066,0.04089230635723529,0.07441347630088235,0.5506586532807333,17
Floor Cleaning Appliances,Bissell,0.10365280136025701,0.12682090632331747,0.13777085538609413,0.07615920064608434,0.23712136775064,0.47064119601704,0.5041496306409808,25
Floor Cleaning Appliances,Dyson,0.5896713209916625,0.36253826732102945,0.25692310967115817,0.6102051624570201,0.67513943421116,0.87505048090244,0.7715070782707106,25
Floor Cleaning Appliances,Hoover,0.043496346809566856,0.1747558950322605,0.20656493555906413,0.1171791484550315,0.32663962104912003,0.7043283172257601,0.4631893602288899,25
Floor Cleaning Appliances,Kärcher,0.09234281759083098,0.13630055189989937,0.14518109443866337,0.06223255007079748,0.25472252386296,0.49575761631424003,0.5134155019899862,25
Floor Cleaning Appliances,Shark,0.11016588105684064,0.09139103065904539,0.11275587793132215,0.0642301572161348,0.1709911942144,0.3843810535828,0.43885617077042943,25
Floor Cleaning Appliances,Tineco,0.031414789428035654,0.015338949025752039,0.0156331686456043,0.0164917940330227,0.028586940058039998,0.0533191753574,0.530150640887835,25
Floor Cleaning Appliances,Vax,0.029256042762806318,0.09285439973869579,0.12517095836809378,0.0535019871219091,0.17364952503408,0.42735788356548,0.4054053733104418,25
Fresh Meat & Poultry,Coles Finest,0.2558091373659987,0.2349339046092244,0.2422419089793117,0.17100513504300244,0.30482135549127776,0.41818301665833335,0.7297640336797717,18
Fresh Meat & Poultry,Lilydale,0.4306382643617731,0.46081350563183315,0.4188511260797743,0.5825201463426031,0.5980214105625555,0.7226427851297778,0.8276392209403896,18
Fresh Meat & Poultry,Macro,0.31355259827222826,0.3042525897589424,0.338906964940914,0.24647471861439443,0.39494966837766665,0.5847639003328333,0.6751344550737473,18
Fresh Milk (Dairy),Norco,0.17023897660256498,0.15037152010251015,0.1299890935455284,0.17258766805031917,0.2225458487226875,0.37881041878525,0.5877439396019907,16
