category_name,brand_name,query_token,kind,detail,tier
Coffee,Pablo & Rusty's,Pablo & Rusty's,term,naive:raw-term,trends.naive
Coffee,Padre Coffee,Padre Coffee,term,naive:raw-term,trends.naive
Coffee,Proud Mary's,Proud Mary's,term,naive:raw-term,trends.naive
Coffee,Rumble Coffee Roasters,Rumble Coffee Roasters,term,naive:raw-term,trends.naive
Coffee,ST. ALI,ST. ALI,term,naive:raw-term,trends.naive
Coffee,Sample Coffee,Sample Coffee,term,naive:raw-term,trends.naive
Coffee,Seven Miles,Seven Miles,term,naive:raw-term,trends.naive
Coffee,Single O,Single O,term,naive:raw-term,trends.naive
Coffee,Suntory Boss Coffee,Suntory Boss Coffee,term,naive:raw-term,trends.naive
Coffee,Toby's Estate,Toby's Estate,term,naive:raw-term,trends.naive
Coffee,Veneziano Coffee Roasters,Veneziano Coffee Roasters,term,naive:raw-term,trends.naive
Coffee,Vittoria Coffee,Vittoria Coffee,term,naive:raw-term,trends.naive
"Coupons, Discounts and Vouchers",Cashrewards,Cashrewards,term,naive:raw-term,trends.naive
"Coupons, Discounts and Vouchers",EatClub,EatClub,term,naive:raw-term,trends.naive
"Coupons, Discounts and Vouchers",Entertainment,Entertainment,term,naive:raw-term,trends.naive
"Coupons, Discounts and Vouchers",First Table,First Table,term,naive:raw-term,trends.naive
"Coupons, Discounts and Vouchers",Groupon,Groupon,term,naive:raw-term,trends.naive
"Coupons, Discounts and Vouchers",RedBalloon,RedBalloon,term,naive:raw-term,trends.naive
"Crumbs, Coatings and Sauces",Hart & Soul,Hart & Soul,term,naive:raw-term,trends.naive
"Crumbs, Coatings and Sauces",Maggi,Maggi,term,naive:raw-term,trends.naive
"Crumbs, Coatings and Sauces",MasterFoods,MasterFoods,term,naive:raw-term,trends.naive
"Crumbs, Coatings and Sauces",McCormick,McCormick,term,naive:raw-term,trends.naive
"Crumbs, Coatings and Sauces",Mingle,Mingle,term,naive:raw-term,trends.naive
"Crumbs, Coatings and Sauces",Old El Paso,Old El Paso,term,naive:raw-term,trends.naive
Department Stores,Big W,Big W,term,naive:raw-term,trends.naive
Department Stores,David Jones,David Jones,term,naive:raw-term,trends.naive
